Quartile,Paper Title,Indexed By,Volume,Issue,Publication Date,Publication Type,Cited By
-,The 3 steps of best data warehouse model design with leaning implementation for sales transaction in,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,2
-,Beeboard: From wiimote to interactive whiteboard application for classroom,Journal of Computer Science,10,10,2014-01-01,Journal,2
-,Philosophy of information technology: Sex robot and its ethical issues,International Journal of Social Ecology and Sustainable Development,6,4,2015-10-01,Journal,2
Q4,Effective digital contents for computer programming learning: A systematic literature review,Advanced Science Letters,23,5,2017-05-01,Journal,2
-,Authoring Tool for Interactive Video Content for Learning Programming,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Harmonik = ++(Web IDE),Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Applying indonesian teacher engagement index (ITEI) apps: Self-diagnostic apps for teachers in Indon,ICIC Express Letters; Part B: Applications,9,4,2018-04-01,Journal,2
-,Twitter opinion mining predicts broadband internet s customer churn rate,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,2
-,Recent advances in machine learning for financial markets,Machine Learning Research Progress,-,-,2010-01-01,Book,2
-,Comparison of physics frameworks for WebGL-based game engine,EPJ Web of Conferences,68,-,2014-01-01,Conference Proceedin,2
-,An Integrated Search Interface with 3D Visualization,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,2
Q3,Online trust building through third party trust transfer and third party protection,Journal of Physics: Conference Series,801,1,2017-03-27,Journal,2
-,A conceptual social learning ontology for higher education in e-learning 2.0,Proceedings of 2016 International Conference on Information Management and Technology; ICIMTech 2016,-,-,2017-05-16,Conference Proceedin,2
-,Current Issue on Knowledge Management System for future research: A Systematic Literature Review,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,The general components of enterprise architecture framework in e-commerce: A systematic literature r,Proceedings - 2017 International Conference on Applied Computer and Communication Technologies; ComC,2017-January,-,2017-12-04,Conference Proceedin,2
-,Identification of key success factors and challenges for erp systems-A systematic literature review,Proceedings - 2017 International Conference on Applied Computer and Communication Technologies; ComC,2017-January,-,2017-12-04,Conference Proceedin,2
-,Benefits to implementing IT governance in higher education: (Systematic literature review),Proceedings of 2017 International Conference on Information Management and Technology; ICIMTech 2017,2018-January,-,2018-01-29,Conference Proceedin,2
-,An ECG 12-lead hardware with SPIHT compressing scheme,2013 International Conference on Advanced Computer Science and Information Systems; ICACSIS 2013,-,-,2013-01-01,Conference Proceedin,2
-,Hibernate ORM query simplication using hibernate criteria extension (HCE),NICS 2016 - Proceedings of 2016 3rd National Foundation for Science and Technology Development Confe,-,-,2016-10-28,Conference Proceedin,2
-,Twitter Pornography Multilingual Content Identification Based on Machine Learning,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Classification of imbalanced land-use/land-cover data using variational semi-supervised learning,Proceedings - 2017 International Conference on Innovative and Creative Information Technology: Compu,2018-January,-,2018-03-16,Conference Proceedin,2
-,Decision support system using data warehouse for hotel reservation system,Proceedings - 2017 International Conference on Sustainable Information Engineering and Technology; S,2018-January,-,2018-02-27,Conference Proceedin,2
-,Business intelligence for physical examination platform service reporting system,Proceedings - 2017 International Conference on Sustainable Information Engineering and Technology; S,2018-January,-,2018-02-27,Conference Proceedin,2
-,Recombination of 2D and 3D images for multimodal 2D + 3D face recognition,Proceedings - 4th Pacific-Rim Symposium on Image and Video Technology; PSIVT 2010,-,-,2010-12-01,Conference Proceedin,2
-,Appearance-based object recognition using weighted longest increasing subsequence,Proceedings - International Conference on Pattern Recognition,-,-,2012-12-01,Conference Proceedin,2
Q3,Repairing the Inconsistent Fuzzy Preference Matrix Using Multiobjective PSO,Advances in Fuzzy Systems,2015,-,2015-01-01,Journal,2
-,A hybrid ant-bee colony optimization for solving traveling salesman problem with competitive agents,Lecture Notes in Electrical Engineering,274 LNEE,-,2014-01-01,Book Series,2
-,An adaptive cat swarm optimization based on particle swarm optimization approach (ACPSO) for cluster,International Review on Computers and Software,11,1,2016-01-01,Journal,2
-,Demand forecasting using adaptive neuro-fuzzy inference system and particle swarm optimization,International Review of Automatic Control,9,6,2016-01-01,Journal,2
Q2,Family relationship identification by using extract feature of gray level co-zoccurrence matrix (GLC,International Journal of Electrical and Computer Engineering,7,5,2017-10-01,Journal,2
-,Controlling system for stock raw material for production planning and inventory control in a pharmac,International Review of Mechanical Engineering,11,11,2017-11-01,Journal,2
-,Assessment of capability level and IT governance improvement based on COBIT and ITIL framework at co,2017 International Conference on ICT for Smart Society; ICISS 2017,2018-January,-,2018-02-09,Conference Proceedin,2
-,Fast ant colony optimization for clustering,Indonesian Journal of Electrical Engineering and Computer Science,12,1,2018-01-01,Journal,2
-,Improvement of Advanced Encryption Standard Algorithm with Shift Row and S.Box Modification Mapping,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Disruptive innovations dynamics,Proceedings - 11th 2016 International Conference on Knowledge; Information and Creativity Support Sy,-,-,2017-06-16,Conference Proceedin,2
-,Data mining technique with cluster anaysis use K-means algorithm for LQ45 index on Indonesia stock e,2018 International Conference on Information and Communications Technology; ICOIACT 2018,2018-January,-,2018-04-26,Conference Proceedin,2
-,Implementing Data Warehouse As A Foundation For Decision Support System (Perspective: Technical And,Journal of Theoretical and Applied Information Technology,60,3,2014-01-01,Journal,2
-,Planning production capacity Optimisation with rough cut capacity planning,Pertanika Journal of Social Sciences and Humanities,24,June,2016-06-01,Journal,2
-,Design simulation of filing sequence and solidification time for cast metal matrix composite by low,International Review of Mechanical Engineering,5,2,2011-02-01,Journal,2
-,Computer vision-based visitor study as a decision support system for museum,Proceedings - 2017 International Conference on Innovative and Creative Information Technology: Compu,2018-January,-,2018-03-16,Conference Proceedin,2
Q3,Postal and trade network data within ASEAN countries and beyond,Journal of Physics: Conference Series,1025,1,2018-05-30,Conference Proceedin,2
-,Hydroponic system design with real time OS based on ARM Cortex-M microcontroller,IOP Conference Series: Earth and Environmental Science,109,1,2018-01-05,Conference Proceedin,2
Q4,Analysis and design of knowledge management systems for school of information system at XYZ universi,International Journal of Multimedia and Ubiquitous Engineering,9,12,2014-01-01,Journal,2
Q2,The influence of information technology on the information and service quality for the teaching and,International Journal of Emerging Technologies in Learning,13,12,2018-01-01,Journal,2
Q2,Is trade liberalization a hazard to sustainable environment? Fresh insight from asean countries,Polish Journal of Management Studies,19,1,2019-06-01,Journal,2
-,Modified line-maze algorithm for mobile robot navigation,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,2
Q3,A comprehensive study of H emission in a TEA CO,Journal of the Korean Physical Society,61,1,2012-07-01,Journal,2
Q3,Food powder analysis by using transversely excited atmospheric CO&lt;inf&gt;2&lt;/inf&gt; laser-indu,Journal of Physics: Conference Series,622,1,2015-01-01,Journal,2
Q2,Nanosecond Nd-YAG laser induced plasma emission characteristics in low pressure CO&lt;inf&gt;2&lt;/i,Journal of Applied Physics,118,8,2015-08-28,Journal,2
Q4,Metal-Assisted Laser-Induced Gas Plasma for the Direct Analysis of Powder Using Pulse CO,Journal of Applied Spectroscopy,83,6,2017-01-01,Journal,2
Q1,H-D Analysis Employing Low-Pressure microjoule Picosecond Laser-Induced Breakdown Spectroscopy,Analytical Chemistry,89,9,2017-05-02,Journal,2
Q2,Shock wave plasma generation in low pressure ambient gas from powder sample using subtarget supporte,Microchemical Journal,142,-,2018-11-01,Journal,2
-,How popular culture affects brand identity and perceived quality in consumer decision making,Pertanika Journal of Social Sciences and Humanities,24,July,2016-07-01,Journal,2
Q3,Detection of Hypertension Retinopathy Using Deep Learning and Boltzmann Machines,Journal of Physics: Conference Series,801,1,2017-03-27,Conference Proceedin,2
Q2,Signal enhancement of neutral He emission lines by fast electron bombardment of laser-induced He pla,AIP Advances,6,8,2016-08-01,Journal,2
-,Elemental detection of arabica and robusta green bean coffee using laser-induced plasma spectroscopy,AIP Conference Proceedings,1801,-,2017-01-10,Conference Proceedin,2
Q4,How ethnic civil war transforms into religious civil war: Evidence from Chechnya,CEU Political Science Journal,8,1,2013-05-07,Journal,2
Q3,Institutional Dynamics of Regulatory Actors in the Recruitment of Migrant Workers: The Case of Indon,Asian Journal of Social Science,45,4-5,2017-01-01,Journal,2
-,Symbol timing synchronization for ISDB-T system in multipath fading channel,International Conference on Advanced Communication Technology; ICACT,-,-,2011-05-11,Conference Proceedin,2
-,Assertion-based verification of industrial WLAN system,Proceedings - IEEE International Symposium on Circuits and Systems,2016-July,-,2016-07-29,Conference Proceedin,2
-,Knowledge management system evaluation,Pertanika Journal of Social Sciences and Humanities,24,July,2016-07-01,Journal,2
Q3,Implementation of Creative Problem Solving Model to Improve the High School Student s Metacognitive,Journal of Physics: Conference Series,812,1,2017-03-29,Conference Proceedin,2
Q4,Analyzing tourism studentâ€™s managerial skills by applying PBL,Advanced Science Letters,21,7,2015-01-01,Journal,2
-,The Impact of Enterprise Resources System and Supply Chain Practices on Competitive Advantage and Fi,Procedia Computer Science,72,-,2015-01-01,Conference Proceedin,2
-,Gas chromatography-mass spectrometry (GC-MS) analysis of phytochemicals of first generation gamma-ir,Jurnal Teknologi,78,10-4,2016-01-01,Journal,2
-,Bioactive compounds of fourth generation gamma-irradiated Typhoniumflagelliforme Lodd. mutants based,IOP Conference Series: Earth and Environmental Science,41,1,2016-09-27,Conference Proceedin,2
-,Analysis of gamma irradiated-third generation mutants of rodent tuber (typhonium flagelliforme lodd.,Pertanika Journal of Tropical Agricultural Science,40,1,2017-02-01,Journal,2
-,Analysis of bioactive compounds and morphological traits in indonesian rodent tuber mutant clones of,Jurnal Teknologi,80,2,2018-03-01,Journal,2
-,Feature selection in credit scoring model for credit card applicants in XYZ bank: A comparative stud,International Journal of Multimedia and Ubiquitous Engineering,10,5,2015-01-01,Journal,2
-,Social media based government continuance from an expectation confirmation on citizen exp
